ensembl_gene_id,external_gene_name,"gene_description"
ENSG00000186326,RGS9BP,"regulator of G protein signaling 9 binding protein "
ENSG00000125741,OPA3,"optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia) "
ENSG00000175938,ORAI3,"ORAI calcium release-activated calcium modulator 3 "
ENSG00000229251,HNRNPA1P8,"heterogeneous nuclear ribonucleoprotein A1 pseudogene 8 "
ENSG00000258639,RP11-10A2.1,""
ENSG00000136048,DRAM1,"DNA-damage regulated autophagy modulator 1 "
ENSG00000228199,PAIP1P1,"poly(A) binding protein interacting protein 1 pseudogene 1 "
ENSG00000213965,NUDT19,"nudix (nucleoside diphosphate linked moiety X)-type motif 19 "
ENSG00000270359,RP11-2G1.3,""
ENSG00000224059,HSPA8P16,"heat shock 70kDa protein 8 pseudogene 16 "
ENSG00000257843,AL845450.2,""
ENSG00000207366,RNU6-297P,"RNA, U6 small nuclear 297, pseudogene "
ENSG00000258751,RP11-2G1.1,""
ENSG00000240845,RPL23AP1,"ribosomal protein L23a pseudogene 1 "
ENSG00000241701,HCG17,"HLA complex group 17 (non-protein coding) "
ENSG00000230614,AC073958.2,""
ENSG00000162598,C1orf87,"chromosome 1 open reading frame 87 "
ENSG00000111052,LIN7A,"lin-7 homolog A (C. elegans) "
ENSG00000248230,MICE,"MHC class I polypeptide-related sequence E (pseudogene) "
ENSG00000225128,LINC00972,"long intergenic non-protein coding RNA 972 "
ENSG00000258290,RP11-654D12.1,""
ENSG00000257725,RP11-654D12.3,""
ENSG00000239865,RPP21,"ribonuclease P/MRP 21kDa subunit "
ENSG00000107882,SUFU,"suppressor of fused homolog (Drosophila) "
ENSG00000227785,AC092013.1,""
ENSG00000257194,RP11-567C2.1,""
ENSG00000214511,HIGD1C,"HIG1 hypoxia inducible domain family, member 1C "
ENSG00000177464,GPR4,"G protein-coupled receptor 4 "
ENSG00000236610,SOCS5P1,"suppressor of cytokine signaling 5 pseudogene 1 "
ENSG00000170473,WIBG,"within bgcn homolog (Drosophila) "
ENSG00000204671,IL31,"interleukin 31 "
ENSG00000235458,HCG9P5,"HLA complex group 9 pseudogene 5 "
ENSG00000081138,CDH7,"cadherin 7, type 2 "
ENSG00000225553,PHF1,"PHD finger protein 1 "
ENSG00000258183,RP11-753N8.1,""
ENSG00000264218,Y_RNA,"Y RNA "
ENSG00000231255,AC005009.1,""
ENSG00000271916,RP11-884K10.6,""
ENSG00000228102,IFITM4P,"interferon induced transmembrane protein 4 pseudogene "
ENSG00000145779,TNFAIP8,"tumor necrosis factor, alpha-induced protein 8 "
ENSG00000233073,AC005009.2,""
ENSG00000099381,SETD1A,"SET domain containing 1A "
ENSG00000223606,HLA-V,"major histocompatibility complex, class I, V (pseudogene) "
ENSG00000261462,CTA-254O6.1,""
ENSG00000173809,TDRD12,"tudor domain containing 12 "
ENSG00000176383,B3GNT4,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4 "
ENSG00000224046,AC005076.5,""
ENSG00000069535,MAOB,"monoamine oxidase B "
ENSG00000131370,SH3BP5,"SH3-domain binding protein 5 (BTK-associated) "
ENSG00000177143,CETN1,"centrin, EF-hand protein, 1 "
ENSG00000136630,HLX,"H2.0-like homeobox "
ENSG00000258750,RP11-2G1.2,""
ENSG00000166402,TUB,"tubby bipartite transcription factor "
ENSG00000200397,Y_RNA,"Y RNA "
ENSG00000265801,RP11-720N19.2,""
ENSG00000144852,NR1I2,"nuclear receptor subfamily 1, group I, member 2 "
ENSG00000249679,RP11-279O9.4,"Uncharacterized protein  "
ENSG00000182165,TP53TG1,"TP53 target 1 (non-protein coding) "
ENSG00000112984,KIF20A,"kinesin family member 20A "
ENSG00000238488,snoU13,"Small nucleolar RNA U13 "
ENSG00000164266,SPINK1,"serine peptidase inhibitor, Kazal type 1 "
ENSG00000207597,MIR490,"microRNA 490 "
ENSG00000223657,KRT8P51,"keratin 8 pseudogene 51 "
ENSG00000223840,TRIM26BP,"tripartite motif containing 26B, pseudogene "
ENSG00000224469,AC009517.2,""
ENSG00000198467,TPM2,"tropomyosin 2 (beta) "
ENSG00000129028,THAP10,"THAP domain containing 10 "
ENSG00000254772,EEF1G,"eukaryotic translation elongation factor 1 gamma "
ENSG00000059378,PARP12,"poly (ADP-ribose) polymerase family, member 12 "
ENSG00000079101,CLUL1,"clusterin-like 1 (retinal) "
ENSG00000141748,ARL5C,"ADP-ribosylation factor-like 5C "
ENSG00000143507,DUSP10,"dual specificity phosphatase 10 "
ENSG00000163283,ALPP,"alkaline phosphatase, placental "
ENSG00000107897,ACBD5,"acyl-CoA binding domain containing 5 "
ENSG00000154553,PDLIM3,"PDZ and LIM domain 3 "
ENSG00000223572,CKMT1A,"creatine kinase, mitochondrial 1A "
ENSG00000153956,CACNA2D1,"calcium channel, voltage-dependent, alpha 2/delta subunit 1 "
ENSG00000144354,CDCA7,"cell division cycle associated 7 "
ENSG00000119878,CRIPT,"cysteine-rich PDZ-binding protein "
ENSG00000236632,HLA-E,"major histocompatibility complex, class I, E "
ENSG00000160584,SIK3,"SIK family kinase 3 "
ENSG00000163331,DAPL1,"death associated protein-like 1 "
ENSG00000202023,SNORD81,"Small nucleolar RNA SNORD81 "
ENSG00000231114,AC078842.4,""
ENSG00000187720,THSD4,"thrombospondin, type I, domain containing 4 "
ENSG00000228031,AC078842.3,""
ENSG00000230383,AC009245.3,""
ENSG00000187098,MITF,"microphthalmia-associated transcription factor "
ENSG00000237243,AC022173.2,""
ENSG00000121064,SCPEP1,"serine carboxypeptidase 1 "
ENSG00000110768,GTF2H1,"general transcription factor IIH, polypeptide 1, 62kDa "
ENSG00000234639,AC009263.2,""
ENSG00000231923,AC024082.3,""
ENSG00000231931,AC024082.4,""
ENSG00000124479,NDP,"Norrie disease (pseudoglioma) "
ENSG00000095794,CREM,"cAMP responsive element modulator "
ENSG00000162068,NTN3,"netrin 3 "
ENSG00000221558,AC024082.1,""
ENSG00000222514,RN7SKP223,"RNA, 7SK small nuclear pseudogene 223 "
ENSG00000239145,snoU13,"Small nucleolar RNA U13 "
ENSG00000108242,CYP2C18,"cytochrome P450, family 2, subfamily C, polypeptide 18 "
ENSG00000233951,RCC2P3,"regulator of chromosome condensation 2 pseudogene 3 "
ENSG00000143512,HHIPL2,"HHIP-like 2 "
ENSG00000205944,DAZ2,"deleted in azoospermia 2 "
ENSG00000176912,C18orf56,"chromosome 18 open reading frame 56 "
ENSG00000270394,MTRNR2L13,"MT-RNR2-like 13 (pseudogene) "
ENSG00000189091,SF3B3,"splicing factor 3b, subunit 3, 130kDa "
ENSG00000065989,PDE4A,"phosphodiesterase 4A, cAMP-specific "
ENSG00000174599,TRAM1L1,"translocation associated membrane protein 1-like 1 "
ENSG00000101489,CELF4,"CUGBP, Elav-like family member 4 "
ENSG00000115183,TANC1,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 "
ENSG00000152689,RASGRP3,"RAS guanyl releasing protein 3 (calcium and DAG-regulated) "
ENSG00000242417,RP11-286B5.1,""
ENSG00000162599,NFIA,"nuclear factor I/A "
ENSG00000251731,AL512359.1,""
ENSG00000258381,RP11-737F10.1,""
ENSG00000251824,SNORD112,"Small nucleolar RNA SNORD112 "
ENSG00000125484,GTF3C4,"general transcription factor IIIC, polypeptide 4, 90kDa "
ENSG00000258868,RP11-816J8.1,""
ENSG00000183690,EFHC2,"EF-hand domain (C-terminal) containing 2 "
ENSG00000258401,RP11-326E7.1,""
ENSG00000252424,RNA5SP384,"RNA, 5S ribosomal pseudogene 384 "
ENSG00000244270,RPL32P29,"ribosomal protein L32 pseudogene 29 "
ENSG00000128228,SDF2L1,"stromal cell-derived factor 2-like 1 "
ENSG00000258486,RN7SL1,"RNA, 7SL, cytoplasmic 1 "
ENSG00000252919,Y_RNA,"Y RNA "
ENSG00000074582,BCS1L,"BC1 (ubiquinol-cytochrome c reductase) synthesis-like "
ENSG00000162065,TBC1D24,"TBC1 domain family, member 24 "
ENSG00000176890,TYMS,"thymidylate synthetase "
ENSG00000258568,RHOQP1,"ras homolog family member Q pseudogene 1 "
ENSG00000164100,NDST3,"N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3 "
ENSG00000159674,SPON2,"spondin 2, extracellular matrix protein "
ENSG00000234836,AIF1,"allograft inflammatory factor 1 "
ENSG00000040275,SPDL1,"spindle apparatus coiled-coil protein 1 "
ENSG00000232070,TMEM253,"transmembrane protein 253 "
ENSG00000165695,AK8,"adenylate kinase 8 "
ENSG00000067191,CACNB1,"calcium channel, voltage-dependent, beta 1 subunit "
ENSG00000112640,PPP2R5D,"protein phosphatase 2, regulatory subunit B', delta "
ENSG00000258045,CR382280.5,""
ENSG00000263368,RP11-720N19.1,""
ENSG00000266853,ITM2BP1,"integral membrane protein 2B pseudogene 1 "
ENSG00000132664,POLR3F,"polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa "
ENSG00000266872,RP11-19P22.8,""
ENSG00000071991,CDH19,"cadherin 19, type 2 "
ENSG00000165841,CYP2C19,"cytochrome P450, family 2, subfamily C, polypeptide 19 "
ENSG00000063438,AHRR,"aryl-hydrocarbon receptor repressor "
ENSG00000264216,NOS2P1,"nitric oxide synthase 2 pseudogene 1 "
ENSG00000169327,OR5AU1,"olfactory receptor, family 5, subfamily AU, member 1 "
ENSG00000260272,RP11-20I23.1,"Uncharacterized protein  "
ENSG00000069509,FUNDC1,"FUN14 domain containing 1 "
ENSG00000120860,CCDC53,"coiled-coil domain containing 53 "
ENSG00000125746,EML2,"echinoderm microtubule associated protein like 2 "
ENSG00000232143,GNL1,"guanine nucleotide binding protein-like 1 "
ENSG00000100348,TXN2,"thioredoxin 2 "
ENSG00000185883,ATP6V0C,"ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c "
ENSG00000265788,RP11-19P22.5,""
ENSG00000183979,NPB,"neuropeptide B "
ENSG00000265041,RP11-19P22.7,""
ENSG00000227184,EPPK1,"epiplakin 1 "
ENSG00000271976,RP11-884K10.7,""
ENSG00000222888,AC012467.1,""
ENSG00000176209,SMIM19,"small integral membrane protein 19 "
ENSG00000242983,CABYRP1,"calcium binding tyrosine-(Y)-phosphorylation regulated pseudogene 1 "
ENSG00000143498,TAF1A,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa "
ENSG00000100023,PPIL2,"peptidylprolyl isomerase (cyclophilin)-like 2 "
ENSG00000229806,RPS15P5,"ribosomal protein S15 pseudogene 5 "
ENSG00000265992,ESRG,"embryonic stem cell related (non-protein coding) "
ENSG00000189037,DUSP21,"dual specificity phosphatase 21 "
ENSG00000164326,CARTPT,"CART prepropeptide "
ENSG00000243715,CACNA2D3-AS1,"CACNA2D3 antisense RNA 1 "
ENSG00000266771,RP11-19P22.10,""
ENSG00000264240,RP11-19P22.6,""
ENSG00000239991,RP11-889D3.1,""
ENSG00000264689,RP11-19P22.2,""
ENSG00000187908,DMBT1,"deleted in malignant brain tumors 1 "
ENSG00000243572,RP11-889D3.2,""
ENSG00000263604,RP11-19P22.3,""
ENSG00000240708,RP11-64C1.1,""
ENSG00000139668,WDFY2,"WD repeat and FYVE domain containing 2 "
ENSG00000263472,RN7SL576P,"RNA, 7SL, cytoplasmic 576, pseudogene "
ENSG00000242568,RP11-875H7.1,""
ENSG00000265833,RP1-66C13.1,""
ENSG00000165698,C9orf9,"chromosome 9 open reading frame 9 "
ENSG00000177889,UBE2N,"ubiquitin-conjugating enzyme E2N "
ENSG00000242775,RP11-875H7.2,""
ENSG00000266416,RP1-66C13.2,""
ENSG00000171451,DSEL,"dermatan sulfate epimerase-like "
ENSG00000244586,WNT5A-AS1,"WNT5A antisense RNA 1 "
ENSG00000266786,RP1-66C13.3,""
ENSG00000242317,RP11-875H7.5,""
ENSG00000240777,RP11-58O15.1,""
ENSG00000104826,LHB,"luteinizing hormone beta polypeptide "
ENSG00000110075,PPP6R3,"protein phosphatase 6, regulatory subunit 3 "
ENSG00000264013,MIR3938,"microRNA 3938 "
ENSG00000266527,RP11-138P22.1,""
ENSG00000143367,TUFT1,"tuftelin 1 "
ENSG00000259784,ATP6C,"Uncharacterized protein  "
ENSG00000171206,TRIM8,"tripartite motif containing 8 "
ENSG00000260019,RP11-218F4.1,""
ENSG00000186684,CYP27C1,"cytochrome P450, family 27, subfamily C, polypeptide 1 "
ENSG00000243492,HLA-L,"major histocompatibility complex, class I, L (pseudogene) "
ENSG00000162604,TM2D1,"TM2 domain containing 1 "
ENSG00000104827,CGB,"chorionic gonadotropin, beta polypeptide "
ENSG00000251818,SCARNA20,"Small Cajal body specific RNA 20 "
ENSG00000139044,B4GALNT3,"beta-1,4-N-acetyl-galactosaminyl transferase 3 "
ENSG00000099377,HSD3B7,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 "
ENSG00000225362,CT62,"cancer/testis antigen 62 "
ENSG00000174740,PABPC5,"poly(A) binding protein, cytoplasmic 5 "
ENSG00000146360,GPR6,"G protein-coupled receptor 6 "
ENSG00000110911,SLC11A2,"solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2 "
ENSG00000235317,HCG4,"HLA complex group 4 (non-protein coding) "
ENSG00000100350,FOXRED2,"FAD-dependent oxidoreductase domain containing 2 "
ENSG00000257995,RP11-632B21.1,""
ENSG00000121413,ZSCAN18,"zinc finger and SCAN domain containing 18 "
ENSG00000122863,CHST3,"carbohydrate (chondroitin 6) sulfotransferase 3 "
ENSG00000198720,ANKRD13B,"ankyrin repeat domain 13B "
ENSG00000257787,RP11-20L19.1,""
ENSG00000267335,CTB-60B18.6,"Choriogonadotropin subunit beta variant 1, Uncharacterized protein  "
ENSG00000160218,TRAPPC10,"trafficking protein particle complex 10 "
ENSG00000196243,LINC00615,"long intergenic non-protein coding RNA 615 "
ENSG00000164265,SCGB3A2,"secretoglobin, family 3A, member 2 "
ENSG00000228894,HCG18,"HLA complex group 18 (non-protein coding) "
ENSG00000258148,AC007115.3,""
ENSG00000110852,CLEC2B,"C-type lectin domain family 2, member B "
ENSG00000104818,CGB2,"chorionic gonadotropin, beta polypeptide 2 "
ENSG00000258100,RP11-121E16.1,""
ENSG00000258125,RP11-1041F24.1,""
ENSG00000205765,C5orf51,"chromosome 5 open reading frame 51 "
ENSG00000258224,RP11-587P21.1,""
ENSG00000257893,RP11-587P21.2,""
ENSG00000102796,DHRS12,"dehydrogenase/reductase (SDR family) member 12 "
ENSG00000166479,TMX3,"thioredoxin-related transmembrane protein 3 "
ENSG00000267631,CGB1,"chorionic gonadotropin, beta polypeptide 1 "
ENSG00000065357,DGKA,"diacylglycerol kinase, alpha 80kDa "
ENSG00000162066,AMDHD2,"amidohydrolase domain containing 2 "
ENSG00000261814,HLA-P,"major histocompatibility complex, class I, P (pseudogene) "
ENSG00000107742,SPOCK2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2 "
ENSG00000183605,SFXN4,"sideroflexin 4 "
ENSG00000227030,RPL7AP7,"ribosomal protein L7a pseudogene 7 "
ENSG00000268863,AC135048.1,"Uncharacterized protein  "
ENSG00000225763,MICG,"MHC class I polypeptide-related sequence G (pseudogene) "
ENSG00000189052,CGB5,"chorionic gonadotropin, beta polypeptide 5 "
ENSG00000231430,HCG4P8,"HLA complex group 4 pseudogene 8 "
ENSG00000235536,MICF,"MHC class I polypeptide-related sequence F (pseudogene) "
ENSG00000112290,WASF1,"WAS protein family, member 1 "
ENSG00000226517,HCG4P7,"HLA complex group 4 pseudogene 7 "
ENSG00000227669,HLA-H,"major histocompatibility complex, class I, H (pseudogene) "
ENSG00000134001,EIF2S1,"eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa "
ENSG00000165699,TSC1,"tuberous sclerosis 1 "
ENSG00000099365,STX1B,"syntaxin 1B "
ENSG00000138109,CYP2C9,"cytochrome P450, family 2, subfamily C, polypeptide 9 "
ENSG00000137076,TLN1,"talin 1 "
ENSG00000188782,CATSPER4,"cation channel, sperm associated 4 "
ENSG00000129514,FOXA1,"forkhead box A1 "
ENSG00000178776,C5orf46,"chromosome 5 open reading frame 46 "
ENSG00000171150,SOCS5,"suppressor of cytokine signaling 5 "
ENSG00000102290,PCDH11X,"protocadherin 11 X-linked "
ENSG00000092199,HNRNPC,"heterogeneous nuclear ribonucleoprotein C (C1/C2) "
ENSG00000021488,SLC7A9,"solute carrier family 7 (amino acid transporter light chain, bo,+ system), member 9 "
ENSG00000156970,BUB1B,"BUB1 mitotic checkpoint serine/threonine kinase B "
ENSG00000229293,HLA-T,"major histocompatibility complex, class I, T (pseudogene) "
ENSG00000181894,ZNF329,"zinc finger protein 329 "
ENSG00000228891,DDX39BP1,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B pseudogene 1 "
ENSG00000223766,PRR3,"proline rich 3 "
ENSG00000230357,MCCD1P1,"mitochondrial coiled-coil domain 1 pseudogene 1 "
ENSG00000144791,LIMD1,"LIM domains containing 1 "
ENSG00000231941,HCG4B,"HLA complex group 4B (non-protein coding) "
ENSG00000161202,DVL3,"dishevelled segment polarity protein 3 "
ENSG00000111058,ACSS3,"acyl-CoA synthetase short-chain family member 3 "
ENSG00000232708,HLA-K,"major histocompatibility complex, class I, K (pseudogene) "
ENSG00000123171,CCDC70,"coiled-coil domain containing 70 "
ENSG00000256797,KLRF2,"killer cell lectin-like receptor subfamily F, member 2 "
ENSG00000184047,DIABLO,"diablo, IAP-binding mitochondrial protein "
ENSG00000255508,MIR3654,"microRNA 3654 "
ENSG00000222005,LINC01118,"long intergenic non-protein coding RNA 1118 "
ENSG00000188393,CLEC2A,"C-type lectin domain family 2, member A "
ENSG00000130695,CEP85,"centrosomal protein 85kDa "
ENSG00000023228,NDUFS1,"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase) "
ENSG00000252763,RNU2-31P,"RNA, U2 small nuclear 31, pseudogene "
ENSG00000118816,CCNI,"cyclin I "
ENSG00000264146,AC021654.1,""
ENSG00000071537,SEL1L,"sel-1 suppressor of lin-12-like (C. elegans) "
ENSG00000239332,LINC01119,"long intergenic non-protein coding RNA 1119 "
ENSG00000103496,STX4,"syntaxin 4 "
ENSG00000244040,IL12A-AS1,"IL12A antisense RNA 1 "
ENSG00000163286,ALPPL2,"alkaline phosphatase, placental-like 2 "
ENSG00000135976,ANKRD36,"ankyrin repeat domain 36 "
ENSG00000184100,BRD7P2,"bromodomain containing 7 pseudogene 2 "
ENSG00000172322,CLEC12A,"C-type lectin domain family 12, member A "
ENSG00000171606,ZNF274,"zinc finger protein 274 "
ENSG00000244078,RP11-431I8.1,""
ENSG00000147432,CHRNB3,"cholinergic receptor, nicotinic, beta 3 (neuronal) "
ENSG00000154305,MIA3,"melanoma inhibitory activity family, member 3 "
ENSG00000243687,RP11-432B6.1,""
ENSG00000147050,KDM6A,"lysine (K)-specific demethylase 6A "
ENSG00000207779,MIR15B,"microRNA 15b "
ENSG00000198987,MIR16-2,"microRNA 16-2 "
ENSG00000244009,RP11-227J5.3,""
ENSG00000139865,TTC6,"tetratricopeptide repeat domain 6 "
ENSG00000238427,RNU7-136P,"RNA, U7 small nuclear 136 pseudogene "
ENSG00000142669,SH3BGRL3,"SH3 domain binding glutamic acid-rich protein like 3 "
ENSG00000171471,MAP1LC3B2,"microtubule-associated protein 1 light chain 3 beta 2 "
ENSG00000226492,CUTA,"cutA divalent cation tolerance homolog (E. coli) "
ENSG00000205923,CEMP1,"cementum protein 1 "
ENSG00000266190,RP11-218F4.2,""
ENSG00000185813,PCYT2,"phosphate cytidylyltransferase 2, ethanolamine "
ENSG00000238741,SCARNA7,"small Cajal body-specific RNA 7 "
ENSG00000202389,SNORA70,"Small nucleolar RNA SNORA70 "
ENSG00000229320,KRT8P12,"keratin 8 pseudogene 12 "
ENSG00000252283,Vault,"Vault RNA "
ENSG00000240873,RPS29P22,"ribosomal protein S29 pseudogene 22 "
ENSG00000163161,ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3 "
ENSG00000166405,RIC3,"RIC3 acetylcholine receptor chaperone "
ENSG00000163295,ALPI,"alkaline phosphatase, intestinal "
ENSG00000203484,AC100852.2,""
ENSG00000132849,INADL,"InaD-like (Drosophila) "
ENSG00000147434,CHRNA6,"cholinergic receptor, nicotinic, alpha 6 (neuronal) "
ENSG00000266193,MIR4468,"microRNA 4468 "
ENSG00000225559,AC083867.4,""
ENSG00000252820,Y_RNA,"Y RNA "
ENSG00000013374,NUB1,"negative regulator of ubiquitin-like proteins 1 "
ENSG00000111412,C12orf49,"chromosome 12 open reading frame 49 "
ENSG00000100353,EIF3D,"eukaryotic translation initiation factor 3, subunit D "
ENSG00000238984,snoU13,"Small nucleolar RNA U13 "
ENSG00000121289,CEP89,"centrosomal protein 89kDa "
ENSG00000201465,SNORA51,"Small nucleolar RNA SNORA51 "
ENSG00000213238,AC008155.2,""
ENSG00000213237,AC008155.1,""
ENSG00000202072,Y_RNA,"Y RNA "
ENSG00000214815,AC008265.2,""
ENSG00000239123,snoU13,"Small nucleolar RNA U13 "
ENSG00000169439,SDC2,"syndecan 2 "
ENSG00000234995,AC013429.5,""
ENSG00000172845,SP3,"Sp3 transcription factor "
ENSG00000165702,GFI1B,"growth factor independent 1B transcription repressor "
ENSG00000252188,SNORA40,"Small nucleolar RNA SNORA40 "
ENSG00000134333,LDHA,"lactate dehydrogenase A "
ENSG00000234658,AC013429.4,""
ENSG00000131931,THAP1,"THAP domain containing, apoptosis associated protein 1 "
ENSG00000243099,AC020983.5,""
ENSG00000167004,PDIA3,"protein disulfide isomerase family A, member 3 "
ENSG00000223721,UQCRFS1P2,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 pseudogene 2 "
ENSG00000227334,HLA-N,"major histocompatibility complex, class I, N (pseudogene) "
ENSG00000257363,AL662831.1,""
ENSG00000066933,MYO9A,"myosin IXA "
ENSG00000231129,ABCF1,"ATP-binding cassette, sub-family F (GCN20), member 1 "
ENSG00000242285,RPL6P8,"ribosomal protein L6 pseudogene 8 "
ENSG00000234417,HCG19P,"HLA complex group 19 pseudogene "
ENSG00000207084,SNORA72,"Small nucleolar RNA SNORA72 "
ENSG00000199646,RNU6-1272P,"RNA, U6 small nuclear 1272, pseudogene "
ENSG00000260572,RP11-16N11.2,""
ENSG00000229677,RP11-383F6.1,""
ENSG00000232095,UBQLN1P1,"ubiquilin 1 pseudogene 1 "
ENSG00000239254,RP11-365F18.3,""
ENSG00000100558,PLEK2,"pleckstrin 2 "
ENSG00000271052,RP11-479I16.2,""
ENSG00000258326,AL662831.3,""
ENSG00000171840,NINJ2,"ninjurin 2 "
ENSG00000240138,EEF1GP4,"eukaryotic translation elongation factor 1 gamma pseudogene 4 "
ENSG00000258348,AL662831.4,""
ENSG00000271537,RP11-365F18.6,""
ENSG00000258207,AL662831.2,""
ENSG00000228360,RP11-365F18.1,""
ENSG00000271404,RP11-365F18.5,""
ENSG00000206843,RNU6-206P,"RNA, U6 small nuclear 206, pseudogene "
ENSG00000273391,RP11-634H22.1,""
ENSG00000133710,SPINK5,"serine peptidase inhibitor, Kazal type 5 "
ENSG00000085514,PILRA,"paired immunoglobin-like type 2 receptor alpha "
ENSG00000252332,RNU6-911P,"RNA, U6 small nuclear 911, pseudogene "
ENSG00000253183,RP4-701O16.5,""
ENSG00000254270,ERHP1,"enhancer of rudimentary homolog (Drosophila) pseudogene 1 "
ENSG00000229524,BAG6,"BCL2-associated athanogene 6 "
ENSG00000251728,Y_RNA,"Y RNA "
ENSG00000260231,JHDM1D-AS1,"JHDM1D antisense RNA 1 (head to head) "
ENSG00000171551,ECEL1,"endothelin converting enzyme-like 1 "
ENSG00000143376,SNX27,"sorting nexin family member 27 "
ENSG00000180398,MCFD2,"multiple coagulation factor deficiency 2 "
ENSG00000199971,RNU6-797P,"RNA, U6 small nuclear 797, pseudogene "
ENSG00000199283,RNU1-58P,"RNA, U1 small nuclear 58, pseudogene "
ENSG00000270512,RP5-1136G2.1,""
ENSG00000149016,TUT1,"terminal uridylyl transferase 1, U6 snRNA-specific "
ENSG00000086758,HUWE1,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase "
ENSG00000241661,PPP1R2P6,"protein phosphatase 1, regulatory (inhibitor) subunit 2 pseudogene 6 "
ENSG00000154914,USP43,"ubiquitin specific peptidase 43 "
ENSG00000223113,RNA5SP247,"RNA, 5S ribosomal pseudogene 247 "
ENSG00000238868,snoU13,"Small nucleolar RNA U13 "
ENSG00000234947,STK19,"serine/threonine kinase 19 "
ENSG00000120925,RNF170,"ring finger protein 170 "
ENSG00000202472,RNA5SP248,"RNA, 5S ribosomal pseudogene 248 "
ENSG00000103200,RP11-723C11.2,""
ENSG00000132199,ENOSF1,"enolase superfamily member 1 "
ENSG00000221732,AC006452.1,""
ENSG00000166407,LMO1,"LIM domain only 1 (rhombotin 1) "
ENSG00000201354,Y_RNA,"Y RNA "
ENSG00000240173,RN7SL771P,"RNA, 7SL, cytoplasmic 771, pseudogene "
ENSG00000240889,NDUFB2-AS1,"NDUFB2 antisense RNA 1 "
ENSG00000158062,UBXN11,"UBX domain protein 11 "
ENSG00000271932,U6,"U6 spliceosomal RNA "
ENSG00000123191,ATP7B,"ATPase, Cu++ transporting, beta polypeptide "
ENSG00000271611,RP4-813F11.3,""
ENSG00000198133,TMEM229B,"transmembrane protein 229B "
ENSG00000140992,PDPK1,"3-phosphoinositide dependent protein kinase-1 "
ENSG00000203483,AC100852.1,""
ENSG00000079999,KEAP1,"kelch-like ECH-associated protein 1 "
ENSG00000255851,AC061975.9,""
ENSG00000100027,YPEL1,"yippee-like 1 (Drosophila) "
ENSG00000078142,PIK3C3,"phosphatidylinositol 3-kinase, catalytic subunit type 3 "
ENSG00000197825,AC061975.1,""
ENSG00000258377,RP11-649E7.5,""
ENSG00000188611,ASAH2,"N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2 "
ENSG00000267644,CTD-2008P7.10,""
ENSG00000122512,PMS2,"PMS2 postmeiotic segregation increased 2 (S. cerevisiae) "
ENSG00000258450,RP11-649E7.7,""
ENSG00000203482,AC061975.7,""
ENSG00000259155,RP11-831F12.3,""
ENSG00000237575,PYY2,"peptide YY, 2 (pseudogene) "
ENSG00000258462,RP11-831F12.4,""
ENSG00000258945,RP11-497E19.2,"Uncharacterized protein  "
ENSG00000138764,CCNG2,"cyclin G2 "
ENSG00000272762,RP11-155D18.14,"Poly(rC)-binding protein 4  "
ENSG00000107175,CREB3,"cAMP responsive element binding protein 3 "
ENSG00000211456,SACM1L,"SAC1 suppressor of actin mutations 1-like (yeast) "
ENSG00000176894,PXMP2,"peroxisomal membrane protein 2, 22kDa "
ENSG00000185070,FLRT2,"fibronectin leucine rich transmembrane protein 2 "
ENSG00000157368,IL34,"interleukin 34 "
ENSG00000100030,MAPK1,"mitogen-activated protein kinase 1 "
ENSG00000151876,FBXO4,"F-box protein 4 "
ENSG00000137309,HMGA1,"high mobility group AT-hook 1 "
ENSG00000148308,GTF3C5,"general transcription factor IIIC, polypeptide 5, 63kDa "
ENSG00000258804,RP11-322L20.1,"HCG2028865, Uncharacterized protein  "
ENSG00000114779,ABHD14B,"abhydrolase domain containing 14B "
ENSG00000133835,HSD17B4,"hydroxysteroid (17-beta) dehydrogenase 4 "
ENSG00000180739,S1PR5,"sphingosine-1-phosphate receptor 5 "
ENSG00000149480,MTA2,"metastasis associated 1 family, member 2 "
ENSG00000119812,FAM98A,"family with sequence similarity 98, member A "
ENSG00000186310,NAP1L3,"nucleosome assembly protein 1-like 3 "
ENSG00000178209,PLEC,"plectin "
ENSG00000128886,ELL3,"elongation factor RNA polymerase II-like 3 "
ENSG00000143797,MBOAT2,"membrane bound O-acyltransferase domain containing 2 "
