"ENSG00000215405","NM_001145004","GOLGA6L6"
"ENSG00000135316","NM_001159676","SYNCRIP"
"ENSG00000135316","NM_001159673","SYNCRIP"
"ENSG00000135316","NM_001159674","SYNCRIP"
"ENSG00000100462","NM_001282956","PRMT5"
"ENSG00000110422","NM_001278162","HIPK3"
"ENSG00000001497","NM_001170649","LAS1L"
"ENSG00000100462","NM_001282953","PRMT5"
"ENSG00000135316","NM_001159675","SYNCRIP"
"ENSG00000135316","NM_006372","SYNCRIP"
"ENSG00000105679","NM_014364","GAPDHS"
"ENSG00000155090","NM_005655","KLF10"
"ENSG00000001497","NM_031206","LAS1L"
"ENSG00000001497","NM_001170650","LAS1L"
"ENSG00000155090","NM_001032282","KLF10"
"ENSG00000169718","NM_022156","DUS1L"
"ENSG00000089902","NM_015156","RCOR1"
"ENSG00000170549","NM_024337","IRX1"
"ENSG00000197054","NM_001012753","ZNF763"
"ENSG00000176014","NM_032525","TUBB6"
"ENSG00000166848","NM_018975","TERF2IP"
"ENSG00000100462","NM_001282955","PRMT5"
"ENSG00000070731","NM_006456","ST6GALNAC2"
"ENSG00000122203","NM_020444","KIAA1191"
"ENSG00000122203","NM_001287336","KIAA1191"
"ENSG00000122203","NM_001287335","KIAA1191"
"ENSG00000101350","NM_004798","KIF3B"
"ENSG00000160307","NM_006272","S100B"
"ENSG00000106772","NM_015225","PRUNE2"
"ENSG00000148399","NM_138778","DPH7"
"ENSG00000122203","NM_001079684","KIAA1191"
"ENSG00000122203","NM_001079685","KIAA1191"
"ENSG00000084110","NM_002108","HAL"
"ENSG00000143595","NM_080429","AQP10"
"ENSG00000005100","NM_001199699","DHX33"
"ENSG00000005100","NM_020162","DHX33"
"ENSG00000213024","NM_001193357","NUP62"
"ENSG00000073282","NM_003722","TP63"
"ENSG00000073282","NM_001114978","TP63"
"ENSG00000115514","NM_005783","TXNDC9"
"ENSG00000084110","NM_001258334","HAL"
"ENSG00000213024","NM_016553","NUP62"
"ENSG00000073282","NM_001114979","TP63"
"ENSG00000115263","NM_002054","GCG"
"ENSG00000178033","NM_153711","FAM26E"
"ENSG00000173085","NM_015697","COQ2"
"ENSG00000105677","NM_032635","TMEM147"
"ENSG00000204612","NM_001013735","FOXB2"
"ENSG00000105677","NM_001242598","TMEM147"
"ENSG00000196712","NM_001042492","NF1"
"ENSG00000084110","NM_001258333","HAL"
"ENSG00000196712","NM_000267","NF1"
"ENSG00000105677","NM_001242597","TMEM147"
"ENSG00000244537","NM_033062","KRTAP4-2"
"ENSG00000165724","NM_138462","ZMYND19"
"ENSG00000121274","NM_001040285","PAPD5"
"ENSG00000121274","NM_001040284","PAPD5"
"ENSG00000196712","NM_001128147","NF1"
"ENSG00000011304","NM_002819","PTBP1"
"ENSG00000164451","NM_153036","FAM26D"
"ENSG00000164451","NM_001256889","FAM26D"
"ENSG00000184661","NM_152562","CDCA2"
"ENSG00000073282","NM_001114981","TP63"
"ENSG00000073282","NM_001114980","TP63"
"ENSG00000070526","NM_018414","ST6GALNAC1"
"ENSG00000141052","NM_001146312","MYOCD"
"ENSG00000141052","NM_153604","MYOCD"
"ENSG00000187498","NM_001845","COL4A1"
"ENSG00000240542","NM_001190460","KRTAP9-1"
"ENSG00000164451","NM_001256887","FAM26D"
"ENSG00000011304","NM_031991","PTBP1"
"ENSG00000185945","NM_001099686","NXF2B"
"ENSG00000179151","NM_025083","EDC3"
"ENSG00000179151","NM_001142444","EDC3"
"ENSG00000164451","NM_001256888","FAM26D"
"ENSG00000073282","NM_001114982","TP63"
"ENSG00000179151","NM_001142443","EDC3"
"ENSG00000239886","NM_031961","KRTAP9-2"
"ENSG00000011304","NM_031990","PTBP1"
"ENSG00000213024","NM_153718","NUP62"
"ENSG00000213024","NM_012346","NUP62"
"ENSG00000065621","NM_183239","GSTO2"
"ENSG00000204873","NM_031962","KRTAP9-3"
"ENSG00000065621","NM_001191014","GSTO2"
"ENSG00000187272","NM_031963","KRTAP9-8"
"ENSG00000140025","NM_145231","EFCAB11"
"ENSG00000241595","NM_033191","KRTAP9-4"
"ENSG00000065621","NM_001191013","GSTO2"
"ENSG00000090975","NM_020845","PITPNM2"
"ENSG00000140025","NM_001284269","EFCAB11"
"ENSG00000198083","NM_030975","KRTAP9-9"
"ENSG00000140025","NM_001284267","EFCAB11"
"ENSG00000060656","NM_005704","PTPRU"
"ENSG00000060656","NM_133178","PTPRU"
"ENSG00000060656","NM_001195001","PTPRU"
"ENSG00000140025","NM_001284266","EFCAB11"
"ENSG00000140025","NM_001284268","EFCAB11"
"ENSG00000145536","NM_139056","ADAMTS16"
"ENSG00000197647","NM_001080411","ZNF433"
"ENSG00000060656","NM_133177","PTPRU"
"ENSG00000137574","NM_024831","TGS1"
"ENSG00000197070","NM_152285","ARRDC1"
"ENSG00000221818","NM_022659","EBF2"
"ENSG00000204592","NM_005516","HLA-E"
"ENSG00000100403","NM_017590","ZC3H7B"
"ENSG00000118894","NM_201598","FAM86A"
"ENSG00000047056","NM_014023","WDR37"
"ENSG00000054267","NM_031371","ARID4B"
"ENSG00000118894","NM_201400","FAM86A"
"ENSG00000054267","NM_001206794","ARID4B"
"ENSG00000160310","NM_206962","PRMT2"
"ENSG00000212659","NM_001277331","KRTAP9-6"
"ENSG00000160310","NM_001535","PRMT2"
"ENSG00000171456","NM_015338","ASXL1"
"ENSG00000180386","NM_001277332","KRTAP9-7"
"ENSG00000164675","NM_001282855","IQUB"
"ENSG00000110427","NM_012194","KIAA1549L"
"ENSG00000160310","NM_001242865","PRMT2"
"ENSG00000143515","NM_001005855","ATP8B2"
"ENSG00000164675","NM_178827","IQUB"
"ENSG00000135452","NM_005981","TSPAN31"
"ENSG00000160310","NM_001242864","PRMT2"
"ENSG00000184500","NM_000313","PROS1"
"ENSG00000203993","NM_032937","C9orf37"
"ENSG00000205177","NM_001166692","C11orf91"
"ENSG00000155096","NM_148174","AZIN1"
"ENSG00000134871","NM_001846","COL4A2"
"ENSG00000157985","NM_001244888","AGAP1"
"ENSG00000163281","NM_001270880","GNPDA2"
"ENSG00000054267","NM_016374","ARID4B"
"ENSG00000155096","NM_015878","AZIN1"
"ENSG00000151092","NM_018297","NGLY1"
"ENSG00000163281","NM_138335","GNPDA2"
"ENSG00000109758","NM_001528","HGFAC"
"ENSG00000160310","NM_001286676","PRMT2"
"ENSG00000160310","NM_001286677","PRMT2"
"ENSG00000107447","NM_004088","DNTT"
"ENSG00000107447","NM_001017520","DNTT"
"ENSG00000160310","NM_001286678","PRMT2"
"ENSG00000163281","NM_001270881","GNPDA2"
"ENSG00000139832","NM_017817","RAB20"
"ENSG00000151092","NM_001145295","NGLY1"
"ENSG00000157985","NM_014914","AGAP1"
"ENSG00000167074","NM_001145398","TEF"
"ENSG00000117114","NM_012302","LPHN2"
"ENSG00000157985","NM_001037131","AGAP1"
"ENSG00000167074","NM_003216","TEF"
"ENSG00000151092","NM_001145294","NGLY1"
"ENSG00000183864","NM_016272","TOB2"
"ENSG00000182534","NM_001008528","MXRA7"
"ENSG00000151092","NM_001145293","NGLY1"
"ENSG00000078098","NM_004460","FAP"
"ENSG00000182534","NM_001008529","MXRA7"
"ENSG00000161835","NM_181711","GRASP"
"ENSG00000143515","NM_020452","ATP8B2"
"ENSG00000182534","NM_198530","MXRA7"
"ENSG00000152910","NM_138994","CNTNAP4"
"ENSG00000161835","NM_001271856","GRASP"
"ENSG00000232478","NM_001017417","CT45A1"
"ENSG00000100410","NM_032758","PHF5A"
"ENSG00000085063","NM_001127227","CD59"
"ENSG00000085063","NM_203331","CD59"
"ENSG00000085063","NM_001127226","CD59"
"ENSG00000085063","NM_001127225","CD59"
"ENSG00000085063","NM_203329","CD59"
"ENSG00000085063","NM_203330","CD59"
"ENSG00000085063","NM_000611","CD59"
"ENSG00000072849","NM_016041","DERL2"
"ENSG00000213995","NM_001242881","CARKD"
"ENSG00000213995","NM_018210","CARKD"
"ENSG00000152904","NM_001037277","GGPS1"
"ENSG00000152910","NM_033401","CNTNAP4"
"ENSG00000213995","NM_001242883","CARKD"
"ENSG00000085063","NM_001127223","CD59"
"ENSG00000121281","NM_001286057","ADCY7"
"ENSG00000141385","NM_006796","AFG3L2"
"ENSG00000148841","NM_001272013","ITPRIP"
"ENSG00000140465","NM_000499","CYP1A1"
"ENSG00000148841","NM_001272012","ITPRIP"
"ENSG00000254087","NM_002350","LYN"
"ENSG00000148841","NM_033397","ITPRIP"
"ENSG00000254087","NM_001111097","LYN"
"ENSG00000121281","NM_001114","ADCY7"
"ENSG00000221914","NM_002717","PPP2R2A"
"ENSG00000068654","NM_015425","POLR1A"
"ENSG00000111832","NM_015952","RWDD1"
"ENSG00000169136","NM_012068","ATF5"
"ENSG00000257446","NM_001080404","ZNF878"
"ENSG00000169136","NM_001193646","ATF5"
"ENSG00000163285","NM_173536","GABRG1"
"ENSG00000197183","NM_080616","C20orf112"
"ENSG00000197183","NM_001256798","C20orf112"
"ENSG00000181090","NM_001145527","EHMT1"
"ENSG00000131323","NM_145725","TRAF3"
"ENSG00000131323","NM_003300","TRAF3"
"ENSG00000223547","NM_001136501","ZNF844"
"ENSG00000111832","NM_001007464","RWDD1"
"ENSG00000141391","NM_006553","SLMO1"
"ENSG00000131323","NM_001199427","TRAF3"
"ENSG00000198721","NM_001166010","ECI2"
"ENSG00000221914","NM_001177591","PPP2R2A"
"ENSG00000105675","NM_000704","ATP4A"
"ENSG00000111832","NM_016104","RWDD1"
"ENSG00000116957","NM_001079515","TBCE"
"ENSG00000116957","NM_003193","TBCE"
"ENSG00000116957","NM_001287801","TBCE"
"ENSG00000131323","NM_145726","TRAF3"
"ENSG00000141391","NM_001142405","SLMO1"
"ENSG00000181090","NM_024757","EHMT1"
"ENSG00000175414","NM_173664","ARL10"
"ENSG00000204590","NM_005275","GNL1"
"ENSG00000161640","NM_052884","SIGLEC11"
"ENSG00000140505","NM_000761","CYP1A2"
"ENSG00000161640","NM_001135163","SIGLEC11"
"ENSG00000198721","NM_006117","ECI2"
"ENSG00000170312","NM_001786","CDK1"
"ENSG00000173083","NM_001098540","HPSE"
"ENSG00000132010","NM_001203250","ZNF20"
"ENSG00000132010","NM_021143","ZNF20"
"ENSG00000170312","NM_033379","CDK1"
"ENSG00000152684","NM_015946","PELO"
"ENSG00000173083","NM_006665","HPSE"
"ENSG00000198721","NM_206836","ECI2"
"ENSG00000144406","NM_182587","UNC80"
"ENSG00000048162","NM_001256539","NOP16"
"ENSG00000048162","NM_001256540","NOP16"
"ENSG00000048162","NM_016391","NOP16"
"ENSG00000162885","NM_152490","B3GALNT2"
"ENSG00000173083","NM_001166498","HPSE"
"ENSG00000146828","NM_001267814","SLC12A9"
"ENSG00000143889","NM_138394","HNRNPLL"
"ENSG00000143889","NM_001142650","HNRNPLL"
"ENSG00000162885","NM_001277155","B3GALNT2"
"ENSG00000173083","NM_001199830","HPSE"
"ENSG00000182628","NM_182620","SKA2"
"ENSG00000070814","NM_001135245","TCOF1"
"ENSG00000212658","NM_001257309","KRTAP29-1"
"ENSG00000144406","NM_032504","UNC80"
"ENSG00000108825","NM_025267","PTGES3L-AARSD1"
"ENSG00000146828","NM_020246","SLC12A9"
"ENSG00000212657","NM_001146182","KRTAP16-1"
"ENSG00000070814","NM_000356","TCOF1"
"ENSG00000182628","NM_001100595","SKA2"
"ENSG00000257591","NM_145233","ZNF625"
"ENSG00000186860","NM_031964","KRTAP17-1"
"ENSG00000197430","NM_033207","OPALIN"
"ENSG00000197430","NM_001284327","OPALIN"
"ENSG00000197430","NM_001284326","OPALIN"
"ENSG00000197430","NM_001040102","OPALIN"
"ENSG00000070814","NM_001135244","TCOF1"
"ENSG00000070814","NM_001195141","TCOF1"
"ENSG00000168243","NM_001098721","GNG4"
"ENSG00000168243","NM_004485","GNG4"
"ENSG00000197430","NM_001284320","OPALIN"
"ENSG00000168243","NM_001098722","GNG4"
"ENSG00000197430","NM_001040103","OPALIN"
"ENSG00000197430","NM_001284324","OPALIN"
"ENSG00000197430","NM_001284323","OPALIN"
"ENSG00000070814","NM_001008657","TCOF1"
"ENSG00000168505","NM_001485","GBX2"
"ENSG00000151834","NM_000807","GABRA2"
"ENSG00000108825","NM_001136042","PTGES3L-AARSD1"
"ENSG00000006059","NM_004138","KRT33A"
"ENSG00000151834","NM_001114175","GABRA2"
"ENSG00000146828","NM_001267812","SLC12A9"
"ENSG00000134905","NM_024537","CARS2"
"ENSG00000078328","NM_018723","RBFOX1"
"ENSG00000078328","NM_001142333","RBFOX1"
"ENSG00000173193","NM_017554","PARP14"
"ENSG00000242185","NM_152582","CT45A2"
"ENSG00000147065","NM_002444","MSN"
"ENSG00000126749","NM_006331","EMG1"
"ENSG00000131738","NM_002279","KRT33B"
"ENSG00000136267","NM_145695","DGKB"
"ENSG00000249115","NM_015302","HAUS5"
"ENSG00000151834","NM_001286827","GABRA2"
"ENSG00000070814","NM_001135243","TCOF1"
"ENSG00000078328","NM_001142334","RBFOX1"
"ENSG00000136267","NM_004080","DGKB"
"ENSG00000111834","NM_001010892","RSPH4A"
"ENSG00000215029","NM_001277423","TCP11X2"
"ENSG00000111834","NM_001161664","RSPH4A"
"ENSG00000078328","NM_145891","RBFOX1"
"ENSG00000078328","NM_145892","RBFOX1"
"ENSG00000078328","NM_145893","RBFOX1"
"ENSG00000232417","NM_001017435","CT45A3"
"ENSG00000146066","NM_138820","HIGD2A"
"ENSG00000175920","NM_001164673","DOK7"
"ENSG00000110429","NM_012175","FBXO3"
"ENSG00000256269","NM_000190","HMBS"
"ENSG00000164347","NM_032380","GFM2"
"ENSG00000103653","NM_004383","CSK"
"ENSG00000164347","NM_170691","GFM2"
"ENSG00000185736","NM_018702","ADARB2"
"ENSG00000164347","NM_001281302","GFM2"
"ENSG00000103653","NM_001127190","CSK"
"ENSG00000175920","NM_173660","DOK7"
"ENSG00000256269","NM_001258209","HMBS"
"ENSG00000182177","NM_212556","ASB18"
"ENSG00000164347","NM_170681","GFM2"
"ENSG00000160712","NM_000565","IL6R"
"ENSG00000158417","NM_015904","EIF5B"
"ENSG00000256269","NM_001258208","HMBS"
"ENSG00000103111","NM_014940","MON1B"
"ENSG00000160712","NM_181359","IL6R"
"ENSG00000135298","NM_001704","BAI3"
"ENSG00000110429","NM_033406","FBXO3"
"ENSG00000008988","NM_001146227","RPS20"
"ENSG00000143870","NM_005742","PDIA6"
"ENSG00000137941","NM_024686","TTLL7"
"ENSG00000103111","NM_001286639","MON1B"
"ENSG00000131737","NM_021013","KRT34"
"ENSG00000103111","NM_001286640","MON1B"
"ENSG00000008988","NM_001023","RPS20"
"ENSG00000143870","NM_001282704","PDIA6"
"ENSG00000129951","NM_024888","LPPR3"
"ENSG00000143870","NM_001282705","PDIA6"
"ENSG00000256269","NM_001024382","HMBS"
"ENSG00000129951","NM_001270366","LPPR3"
"ENSG00000143870","NM_001282706","PDIA6"
"ENSG00000143870","NM_001282707","PDIA6"
"ENSG00000166164","NM_001173984","BRD7"
"ENSG00000166164","NM_013263","BRD7"
"ENSG00000115661","NM_001008910","STK16"
"ENSG00000094796","NM_002277","KRT31"
"ENSG00000205078","NM_001129979","SYCE1L"
"ENSG00000175416","NM_007097","CLTB"
"ENSG00000175416","NM_001834","CLTB"
"ENSG00000172232","NM_001700","AZU1"
"ENSG00000158164","NM_021992","TMSB15A"
"ENSG00000164690","NM_000193","SHH"
"ENSG00000162510","NM_002379","MATN1"
"ENSG00000108417","NM_003770","KRT37"
"ENSG00000120727","NM_016480","PAIP2"
"ENSG00000120051","NM_001008723","CCDC147"
"ENSG00000232258","NM_001146336","TMEM114"
"ENSG00000149600","NM_001099339","COMMD7"
"ENSG00000149600","NM_053041","COMMD7"
"ENSG00000168830","NM_000865","HTR1E"
"ENSG00000120727","NM_001033112","PAIP2"
"ENSG00000196646","NM_003437","ZNF136"
"ENSG00000171360","NM_006771","KRT38"
"ENSG00000134278","NM_001128626","SPIRE1"
"ENSG00000051825","NM_022782","MPHOSPH9"
"ENSG00000134278","NM_020148","SPIRE1"
"ENSG00000196415","NM_002777","PRTN3"
"ENSG00000162511","NM_006762","LAPTM5"
"ENSG00000163956","NM_002337","LRPAP1"
"ENSG00000135346","NM_000735","CGA"
"ENSG00000042088","NM_001008744","TDP1"
"ENSG00000134278","NM_001128627","SPIRE1"
"ENSG00000258890","NM_138363","CEP95"
"ENSG00000186635","NM_015242","ARAP1"
"ENSG00000125962","NM_001168480","ARMCX5"
"ENSG00000186635","NM_001040118","ARAP1"
"ENSG00000163312","NM_133636","HELQ"
"ENSG00000042088","NM_018319","TDP1"
"ENSG00000125962","NM_001168478","ARMCX5"
"ENSG00000162512","NM_014654","SDC3"
"ENSG00000186635","NM_001135190","ARAP1"
"ENSG00000125962","NM_001168479","ARMCX5"
"ENSG00000169291","NM_001010846","SHE"
"ENSG00000125962","NM_001168485","ARMCX5"
"ENSG00000125962","NM_001168482","ARMCX5"
"ENSG00000125962","NM_022838","ARMCX5"
"ENSG00000163939","NM_018313","PBRM1"
"ENSG00000006740","NM_014859","ARHGAP44"
"ENSG00000140873","NM_199355","ADAMTS18"
"ENSG00000197857","NM_001164276","ZNF44"
"ENSG00000197857","NM_016264","ZNF44"
"ENSG00000127824","NM_006000","TUBA4A"
"ENSG00000164171","NM_002203","ITGA2"
"ENSG00000170516","NM_130902","COX7B2"
"ENSG00000127824","NM_001278552","TUBA4A"
"ENSG00000100412","NM_001098","ACO2"
"ENSG00000104765","NM_004331","BNIP3L"
"ENSG00000172680","NM_005372","MOS"
"ENSG00000170482","NM_152685","SLC23A1"
"ENSG00000188868","NM_145276","ZNF563"
"ENSG00000228836","NM_001017436","CT45A4"
"ENSG00000170482","NM_005847","SLC23A1"
"ENSG00000132321","NM_024726","IQCA1"
"ENSG00000067365","NM_024109","METTL22"
"ENSG00000181690","NM_002655","PLAG1"
"ENSG00000181690","NM_001114634","PLAG1"
"ENSG00000072422","NM_001242359","RHOBTB1"
"ENSG00000072422","NM_014836","RHOBTB1"
"ENSG00000181690","NM_001114635","PLAG1"
"ENSG00000105982","NM_030936","RNF32"
"ENSG00000132321","NM_001270584","IQCA1"
"ENSG00000198342","NM_030824","ZNF442"
"ENSG00000132321","NM_001270585","IQCA1"
"ENSG00000148408","NM_001243812","CACNA1B"
"ENSG00000148408","NM_000718","CACNA1B"
"ENSG00000143669","NM_000081","LYST"
"ENSG00000231852","NM_000500","CYP21A2"
"ENSG00000153487","NM_198217","ING1"
"ENSG00000105982","NM_001184996","RNF32"
"ENSG00000105982","NM_001184997","RNF32"
"ENSG00000153487","NM_198219","ING1"
"ENSG00000153487","NM_001267728","ING1"
"ENSG00000153487","NM_198218","ING1"
"ENSG00000100413","NM_001018050","POLR3H"
"ENSG00000197969","NM_001018038","VPS13A"
"ENSG00000109158","NM_000809","GABRA4"
"ENSG00000109158","NM_001204266","GABRA4"
"ENSG00000109158","NM_001204267","GABRA4"
"ENSG00000100413","NM_001018052","POLR3H"
"ENSG00000155097","NM_001695","ATP6V1C1"
"ENSG00000153487","NM_005537","ING1"
"ENSG00000163239","NM_182499","TDRD10"
"ENSG00000163239","NM_001098475","TDRD10"
"ENSG00000183049","NM_153498","CAMK1D"
"ENSG00000188994","NM_015021","ZNF292"
"ENSG00000197969","NM_001018037","VPS13A"
"ENSG00000197969","NM_033305","VPS13A"
"ENSG00000070495","NM_001081461","JMJD6"
"ENSG00000169379","NM_144996","ARL13B"
"ENSG00000197561","NM_001972","ELANE"
"ENSG00000140807","NM_033119","NKD1"
"ENSG00000092036","NM_001166270","HAUS4"
"ENSG00000183049","NM_020397","CAMK1D"
"ENSG00000111144","NM_000895","LTA4H"
"ENSG00000231852","NM_001128590","CYP21A2"
"ENSG00000100413","NM_138338","POLR3H"
"ENSG00000100413","NM_001282885","POLR3H"
"ENSG00000100413","NM_001282884","POLR3H"
"ENSG00000153975","NM_145062","ZUFSP"
"ENSG00000197969","NM_015186","VPS13A"
"ENSG00000169379","NM_001174150","ARL13B"
"ENSG00000070495","NM_015167","JMJD6"
"ENSG00000075142","NM_003130","SRI"
"ENSG00000068489","NM_018304","PRR11"
"ENSG00000169379","NM_182896","ARL13B"
"ENSG00000111144","NM_001256643","LTA4H"
"ENSG00000164929","NM_024812","BAALC"
"ENSG00000075142","NM_198901","SRI"
"ENSG00000164929","NM_001024372","BAALC"
"ENSG00000075142","NM_001256892","SRI"
"ENSG00000197766","NM_001928","CFD"
"ENSG00000155659","NM_001257403","VSIG4"
"ENSG00000155659","NM_007268","VSIG4"
"ENSG00000136720","NM_004807","HS6ST1"
"ENSG00000088448","NM_017664","ANKRD10"
"ENSG00000155659","NM_001100431","VSIG4"
"ENSG00000155659","NM_001184831","VSIG4"
"ENSG00000111144","NM_001256644","LTA4H"
"ENSG00000092036","NM_017815","HAUS4"
"ENSG00000092036","NM_001166269","HAUS4"
"ENSG00000196466","NM_001080821","ZNF799"
"ENSG00000169379","NM_001174151","ARL13B"
"ENSG00000155659","NM_001184830","VSIG4"
"ENSG00000123358","NM_001202233","NR4A1"
"ENSG00000126254","NM_024321","RBM42"
"ENSG00000123358","NM_002135","NR4A1"
"ENSG00000135446","NM_000075","CDK4"
"ENSG00000088448","NM_001286721","ANKRD10"
"ENSG00000123358","NM_173157","NR4A1"
"ENSG00000113194","NM_014613","FAF2"
"ENSG00000108759","NM_002278","KRT32"
"ENSG00000168216","NM_018368","LMBRD1"
"ENSG00000240694","NM_007257","PNMA2"
"ENSG00000180855","NM_005815","ZNF443"
"ENSG00000170791","NM_001011671","CHCHD7"
"ENSG00000170791","NM_001011670","CHCHD7"
"ENSG00000156049","NM_004297","GNA14"
"ENSG00000116962","NM_002508","NID1"
"ENSG00000187546","NM_001004320","AGMO"
"ENSG00000167842","NM_001258218","MIS12"
"ENSG00000167842","NM_024039","MIS12"
"ENSG00000167842","NM_001258220","MIS12"
"ENSG00000167842","NM_001258219","MIS12"
"ENSG00000167842","NM_001258217","MIS12"
"ENSG00000166126","NM_030943","AMN"
"ENSG00000242284","NM_001007551","CT45A5"
"ENSG00000242284","NM_001172288","CT45A5"
"ENSG00000140876","NM_001243657","NUDT7"
"ENSG00000140876","NM_001105663","NUDT7"
"ENSG00000140876","NM_001243661","NUDT7"
"ENSG00000167208","NM_001144972","SNX20"
"ENSG00000167208","NM_153337","SNX20"
"ENSG00000184160","NM_000683","ADRA2C"
"ENSG00000156052","NM_002072","GNAQ"
"ENSG00000167208","NM_182854","SNX20"
"ENSG00000170791","NM_001011667","CHCHD7"
"ENSG00000170791","NM_024300","CHCHD7"
"ENSG00000170791","NM_001011669","CHCHD7"
"ENSG00000170791","NM_001011668","CHCHD7"
"ENSG00000095587","NM_012465","TLL2"
"ENSG00000151093","NM_017897","OXSM"
"ENSG00000151093","NM_001145391","OXSM"
"ENSG00000163319","NM_016067","MRPS18C"
"ENSG00000222014","NM_032144","RAB6C"
"ENSG00000128609","NM_001282421","NDUFA5"
"ENSG00000128609","NM_001282419","NDUFA5"
"ENSG00000128609","NM_001282420","NDUFA5"
"ENSG00000105053","NM_016440","VRK3"
"ENSG00000142875","NM_002731","PRKACB"
"ENSG00000142875","NM_001242862","PRKACB"
"ENSG00000077585","NM_003272","GPR137B"
"ENSG00000128789","NM_147163","PSMG2"
"ENSG00000172346","NM_014460","CSDC2"
"ENSG00000128609","NM_005000","NDUFA5"
"ENSG00000105053","NM_001025778","VRK3"
"ENSG00000242852","NM_152601","ZNF709"
"ENSG00000142875","NM_207578","PRKACB"
"ENSG00000142875","NM_182948","PRKACB"
"ENSG00000128789","NM_020232","PSMG2"
"ENSG00000106511","NM_005924","MEOX2"
"ENSG00000170476","NM_016459","MZB1"
"ENSG00000105672","NM_014209","ETV2"
"ENSG00000196911","NM_002269","KPNA5"
"ENSG00000100678","NM_182932","SLC8A3"
"ENSG00000198932","NM_014710","GPRASP1"
"ENSG00000088305","NM_006892","DNMT3B"
"ENSG00000198932","NM_001099410","GPRASP1"
"ENSG00000163762","NM_138786","TM4SF18"
"ENSG00000198932","NM_001099411","GPRASP1"
"ENSG00000142875","NM_001242861","PRKACB"
"ENSG00000088305","NM_175848","DNMT3B"
"ENSG00000198932","NM_001184727","GPRASP1"
"ENSG00000166348","NM_152586","USP54"
"ENSG00000163762","NM_001184723","TM4SF18"
"ENSG00000088305","NM_175849","DNMT3B"
"ENSG00000088305","NM_001207055","DNMT3B"
"ENSG00000142875","NM_001242860","PRKACB"
"ENSG00000142875","NM_001242857","PRKACB"
"ENSG00000142875","NM_001242858","PRKACB"
"ENSG00000142875","NM_001242859","PRKACB"
"ENSG00000214960","NM_001101426","ISPD"
"ENSG00000214960","NM_001101417","ISPD"
"ENSG00000088305","NM_001207056","DNMT3B"
"ENSG00000100678","NM_183002","SLC8A3"
"ENSG00000100678","NM_058240","SLC8A3"
"ENSG00000171724","NM_020927","VAT1L"
"ENSG00000100417","NM_002676","PMM1"
"ENSG00000135924","NM_006736","DNAJB2"
"ENSG00000092964","NM_001197293","DPYSL2"
"ENSG00000088305","NM_175850","DNMT3B"
"ENSG00000169087","NM_024610","HSPBAP1"
"ENSG00000135924","NM_001039550","DNAJB2"
"ENSG00000100678","NM_001130417","SLC8A3"
"ENSG00000132300","NM_017952","PTCD3"
"ENSG00000092964","NM_001386","DPYSL2"
"ENSG00000100678","NM_182936","SLC8A3"
"ENSG00000164930","NM_001164615","FZD6"
"ENSG00000146083","NM_014901","RNF44"
"ENSG00000092964","NM_001244604","DPYSL2"
"ENSG00000169908","NM_014220","TM4SF1"
"ENSG00000196604","NM_001099771","POTEF"
"ENSG00000166598","NM_003299","HSP90B1"
"ENSG00000163288","NM_000812","GABRB1"
"ENSG00000126267","NM_001863","COX6B1"
"ENSG00000100678","NM_033262","SLC8A3"
"ENSG00000169710","NM_004104","FASN"
"ENSG00000179796","NM_052953","LRRC3B"
"ENSG00000167207","NM_022162","NOD2"
"ENSG00000164930","NM_001164616","FZD6"
"ENSG00000164930","NM_003506","FZD6"
"ENSG00000163982","NM_177998","OTOP1"
"ENSG00000203943","NM_001010971","SAMD13"
"ENSG00000139266","NM_138396","MARCH9"
"ENSG00000013588","NM_003979","GPRC5A"
"ENSG00000148019","NM_032171","CEP78"
"ENSG00000164411","NM_198568","GJB7"
"ENSG00000166509","NM_001244755","CLEC3A"
"ENSG00000135363","NM_001142316","LMO2"
"ENSG00000135363","NM_001142315","LMO2"
"ENSG00000203943","NM_001134663","SAMD13"
"ENSG00000144476","NM_020311","ACKR3"
"ENSG00000148019","NM_001098802","CEP78"
"ENSG00000171243","NM_015464","SOSTDC1"
"ENSG00000135363","NM_005574","LMO2"
"ENSG00000166509","NM_005752","CLEC3A"
"ENSG00000164151","NM_015325","KIAA0947"
"ENSG00000203943","NM_001134664","SAMD13"
"ENSG00000111291","NM_018654","GPRC5D"
"ENSG00000086619","NM_019891","ERO1LB"
"ENSG00000132406","NM_032927","TMEM128"
"ENSG00000169903","NM_004617","TM4SF4"
"ENSG00000111850","NM_020425","SMIM8"
"ENSG00000158301","NM_138437","GPRASP2"
"ENSG00000158301","NM_001184875","GPRASP2"
"ENSG00000111850","NM_001042493","SMIM8"
"ENSG00000158301","NM_001184874","GPRASP2"
"ENSG00000158301","NM_001184876","GPRASP2"
"ENSG00000158301","NM_001004051","GPRASP2"
"ENSG00000105668","NM_001281443","UPK1A"
"ENSG00000013583","NM_015987","HEBP1"
"ENSG00000105668","NM_007000","UPK1A"
"ENSG00000175221","NM_005481","MED16"
"ENSG00000163322","NM_139076","FAM175A"
"ENSG00000249709","NM_144976","ZNF564"
"ENSG00000100418","NM_015704","DESI1"
"ENSG00000181038","NM_001080510","METTL23"
"ENSG00000181038","NM_001206983","METTL23"
"ENSG00000137976","NM_021233","DNASE2B"
